"country","people_vaccinated_per_hundred","people_vaccinated","days.to.start_rel","days.to.start_abs","daily.vac.per.mil_6moavg","daily.vac.per.mil_max","daily.vac_max","VSI"
"Andorra",0.74,576,54,54.7916666666667,3697.16666666667,11182,865,0.494337361309971
"Anguilla",0,0,64,64.7916666666667,6016.4,16727,253,0.61316573454622
"Argentina",0.04,20482,27,27.7916666666667,1928.33333333333,8312,379062,0.0599848025506224
"Australia",0,20,81,81.7916666666667,3166.33333333333,10921,281632,-0.158629107776378
"Austria",0.35,31660,37,37.7916666666667,5678.16666666667,12020,108701,0.917832236509866
"Azerbaijan",0,0,46,46.7916666666667,2975.66666666667,8051,82305,0.106238628817968
"Bahrain",2.23,38965,21,21.7916666666667,5392.33333333333,11032,19288,1.75886348419478
"Bangladesh",0,0,55,55.7916666666667,265.5,9037,1502924,-0.564913825486044
"Barbados",1.56,4490,75,75.7916666666667,4565.5,10942,3148,0.83315399448396
"Belarus",0,0,26,26.7916666666667,667.4,7137,67398,-0.223085644127712
"Belgium",0,339,26,26.7916666666667,3526,10113,117636,0.401683648496742
"Belize",0,0,88,88.7916666666667,2035,9928,4020,-0.46719870283932
"Bermuda",0,0,39,39.7916666666667,8555,12449,773,1.38695326466786
"Bhutan",0,0,114,114.791666666667,18333.5,92926,72473,2.86725040518433
"Bolivia",0.01,1589,62,62.7916666666667,2656.66666666667,5727,67772,-0.0995531335611298
"Brazil",0,112,46,46.7916666666667,3029.5,7650,1636986,0.118004323069098
"Cambodia",0,0,69,69.7916666666667,4426.66666666667,10902,184744,0.221925787859718
"Canada",0,5,12,12.7916666666667,3953.66666666667,13839,526827,0.617769297740424
"Cayman Islands",0,0,24,24.7916666666667,9365.4,14391,957,1.69544653380395
"Chile",0,420,22,22.7916666666667,4660.16666666667,10146,194937,0.684597683068719
"Colombia",1.46,749059,101,101.791666666667,3842.71428571429,6683,342609,0.406863759328609
"Costa Rica",0,55,22,22.7916666666667,2189.33333333333,6532,33567,0.144577815350398
"Croatia",0.19,7864,28,28.7916666666667,2763.66666666667,6834,27895,0.294702323080277
"Cuba",0.62,70000,161,161.791666666667,14248.6666666667,18337,207527,1.81458931062287
"Curacao",9.35,15406,117,117.791666666667,4734.16666666667,11687,1926,3.66528320086633
"Cyprus",0.44,3901,35,35.7916666666667,5350.5,10888,9756,0.900278983540804
"Denmark",0,1,6,6.79166666666667,3771.5,10393,60419,0.630504969149763
"Dominican Republic",0,0,75,75.7916666666667,4337,6632,72643,0.149778824426865
"Ecuador",0,17,49,49.7916666666667,1740.66666666667,14369,257032,-0.18995504685303
"El Salvador",0,0,77,77.7916666666667,3976.16666666667,10293,67094,0.0533993509048854
"Estonia",0.01,191,25,25.7916666666667,3406.66666666667,6693,8869,0.388421167266293
"Faeroe Islands",8.14,3993,58,58.7916666666667,3710.16666666667,8603,422,3.46689995554382
"Fiji",0,0,105,105.791666666667,6268.16666666667,15809,14274,0.309102263681789
"Finland",0,67,32,32.7916666666667,4211.2,8396,46585,0.498889829684194
"France",0,593,25,25.7916666666667,3546.5,9276,625388,0.414922352335255
"French Polynesia",0.75,2133,62,62.7916666666667,3039,11199,3164,0.28448423600379
"Germany",0.03,24357,25,25.7916666666667,4093.33333333333,9144,767205,0.546618472880866
"Gibraltar",1.25,420,39,39.7916666666667,12787.8333333333,27248,918,2.8196318229464
"Greece",0,447,26,26.7916666666667,3186.83333333333,8997,93304,0.327556132084817
"Greenland",4.54,2584,56,56.7916666666667,6253,17708,1007,2.57840010195488
"Guyana",0,0,71,71.7916666666667,2635.83333333333,6224,4919,-0.186991322426053
"Honduras",0.03,2684,88,88.7916666666667,1613.33333333333,8032,80830,-0.547175799920094
"Iceland",1.32,4875,28,28.7916666666667,4419.83333333333,15209,5609,1.11550456706913
"India",0,0,44,44.7916666666667,1495.66666666667,6526,9093383,-0.199710358971947
"Indonesia",0,0,41,41.7916666666667,1191.83333333333,6437,1779018,-0.23984069265294
"Iran",0,0,68,68.7916666666667,1060.83333333333,11679,993037,-0.5049450308853
"Ireland",0,202,26,26.7916666666667,4012.5,10715,53392,0.508012012332815
"Israel",0,66,17,17.7916666666667,7142.83333333333,16103,149610,1.27099516387243
"Italy",0.01,7349,25,25.7916666666667,3852.16666666667,9169,553498,0.48578866179655
"Japan",0,125,77,77.7916666666667,4580.66666666667,10535,1327979,0.185517533718669
"Kazakhstan",0,0,60,60.7916666666667,2173.16666666667,6391,121396,-0.191769764607737
"Kiribati",0,0,181,181.791666666667,4323,10677,1296,-0.781657518278543
"Kuwait",3.17,137000,75,75.7916666666667,2318,8365,36209,0.995682476312937
"Lao PDR",0.55,40732,105,105.791666666667,3587.83333333333,6607,48754,-0.0533791186041868
"Latvia",0,1,2,2.79166666666667,2895.83333333333,9125,17035,0.474154276246851
"Liechtenstein",0,0,19,19.7916666666667,4715.8,10273,393,0.72303158889497
"Lithuania",0.09,2417,25,25.7916666666667,3895.5,7887,21216,0.527743330838921
"Luxembourg",0.07,452,26,26.7916666666667,3070.33333333333,10792,6851,0.330517502408121
"Malaysia",0,63,84,84.7916666666667,4645.33333333333,16784,550125,0.138343053039985
"Maldives",0.16,880,62,62.7916666666667,4824.83333333333,9711,5279,0.435223761189095
"Malta",2.27,11705,46,46.7916666666667,7170.33333333333,11558,5965,1.94474441730623
"Mauritius",0,0,54,54.7916666666667,3611.8,8489,10810,0.175204369505623
"Mexico",0,2924,22,22.7916666666667,1639.33333333333,11849,1543520,0.0243710319797102
"Mongolia",0.09,3112,85,85.7916666666667,7544,21078,70174,0.799655269026165
"Montenegro",0,0,80,80.7916666666667,3664.83333333333,13244,8318,-0.0409197812993396
"Morocco",6.31,2357283,79,79.7916666666667,4276.28571428571,9626,359486,2.66363838236615
"Nepal",0.38,113175,61,61.7916666666667,1321.85714285714,13074,387959,-0.232290160242884
"Netherlands",0.2,33759,38,38.7916666666667,5973.83333333333,13599,233536,0.912787035776726
"New Caledonia",0.39,1118,62,62.7916666666667,2595.5,13788,3974,0.0413766150083625
"New Zealand",0,1,74,74.7916666666667,2711.66666666667,15897,81495,-0.196692164396909
"Nicaragua",0,0,89,89.7916666666667,498.75,4729,31693,-0.811716373758053
"Niue",0,0,201,201.791666666667,24370,45849,74,3.42460507297697
"Norway",0,0,0,0.791666666666667,3405.33333333333,11097,60651,0.603026007576908
"Oman",0.03,1717,26,26.7916666666667,673,9818,51282,-0.209680283678455
"Panama",0.01,641,49,49.7916666666667,1864.83333333333,16375,71750,-0.158756975904063
"Paraguay",0,200,82,82.7916666666667,1863.33333333333,6111,44117,-0.452168174656541
"Peru",0,7,68,68.7916666666667,2366.66666666667,9004,300378,-0.219544986124891
"Poland",0.01,2000,26,26.7916666666667,3689.5,8112,306605,0.441478325771614
"Portugal",0.05,4963,25,25.7916666666667,3764.5,11568,117619,0.482870344835562
"Qatar",3.41,1e+05,77,77.7916666666667,7855,10807,31670,2.28577190449668
"Russian Federation",0.02,28500,13,13.7916666666667,1399.4,5385,785748,0.0588771139533152
"Rwanda",0,0,75,75.7916666666667,319.833333333333,9634,127901,-0.728204236053045
"Saint Helena",1.76,107,63,63.7916666666667,12742.6666666667,15915,97,2.80664626196114
"Samoa",3.7,7411,153,153.791666666667,5147,9128,1827,1.14604284605297
"San Marino",0.1,35,87,87.7916666666667,7674,14172,482,0.814611722033611
"Serbia",0.1,7000,37,37.7916666666667,4273.66666666667,5671,38969,0.50935584969909
"Seychelles",0,0,38,38.7916666666667,9404.16666666667,21939,2170,1.58130352211821
"Singapore",0,124,28,28.7916666666667,4698.33333333333,11725,63943,0.640389690195053
"Slovakia",0.55,30161,32,32.7916666666667,4015.8,6367,34694,0.679509979926587
"Slovenia",0.3,6199,25,25.7916666666667,3259.5,7144,14850,0.474010635562103
"Korea, Rep.",0.07,37837,86,86.7916666666667,3624.33333333333,15009,770061,-0.0738976342057169
"Spain",0.18,82834,33,33.7916666666667,5807.33333333333,12177,569213,0.912067552120455
"Sri Lanka",0,0,57,57.7916666666667,1322.83333333333,21207,455904,-0.351341929401605
"Sweden",0.02,1887,32,32.7916666666667,4342.8,10326,104917,0.535772992469151
"Switzerland",0,1,19,19.7916666666667,4003,9916,86423,0.567243597646558
"Taiwan",0,0,109,109.791666666667,2564.33333333333,14362,342617,-0.535432433317241
"Tajikistan",0.71,69229,156,156.791666666667,2674.33333333333,6169,60143,-0.634735723230008
"Thailand",0,0,87,87.7916666666667,1543,10885,761417,-0.565970865323494
"Tonga",2.14,2287,139,139.791666666667,4130.8,11503,1228,0.413125475028728
"Tunisia",0,0,100,100.791666666667,2676.33333333333,8826,105341,-0.432129538396763
"Turkey",3.61,3067822,72,72.7916666666667,4698.42857142857,11232,955219,1.72087956041206
"United Arab Emirates",8.37,836568,39,39.7916666666667,6892.75,9021,90125,4.42227645910816
"Uruguay",0.01,383,87,87.7916666666667,8131.16666666667,11047,38499,0.877984746912982
"United States",0.01,25125,11,11.7916666666667,5391.66666666667,9758,3239655,0.944874144938978
"Uzbekistan",0,0,119,119.791666666667,2396.66666666667,7207,244582,-0.659659980952356
"Venezuela, RB",0,0,77,77.7916666666667,958,16251,466473,-0.606244479416265
"Afghanistan",0,0,82,82.7916666666667,146.5,920,36635,-0.827395470263043
"Albania",0,0,39,39.7916666666667,2983.66666666667,5792,16639,0.169294975420778
"Algeria",0,0,58,58.7916666666667,84,5759,256927,-0.630856871555187
"Angola",0,0,89,89.7916666666667,420,2983,101233,-0.828927799558856
"Armenia",0.02,565,119,119.791666666667,761,4908,14568,-1.00902671154602
"Bahamas",0,0,101,101.791666666667,2448.83333333333,8395,3332,-0.490609704340244
"Benin",0.09,10683,161,161.791666666667,186,2830,35237,-1.4741213927917
"Botswana",0,0,113,113.791666666667,1474.33333333333,5563,13337,-0.808693498921571
"Bulgaria",0.02,1719,27,27.7916666666667,1336.16666666667,2287,15773,-0.0775587921029874
"Burkina Faso",0,200,182,182.791666666667,152,1286,27639,-1.70202032098986
"Burundi",0,81,321,321.791666666667,4.2,5,62,-2.95172257884751
"Cameroon",0,0,130,130.791666666667,69.6666666666667,229,6236,-1.264584914546
"Central African Republic",0.01,667,161,161.791666666667,471.75,1497,7365,-1.4441523364506
"Chad",0.03,5324,190,190.791666666667,79,162,2735,-1.77585975615805
"Comoros",1.51,13440,140,140.791666666667,2284.66666666667,5622,4995,-0.254929785316749
"Congo",0.25,14297,133,133.791666666667,388.166666666667,1253,7088,-1.11973709300216
"Djibouti",1.02,10246,136,136.791666666667,423.25,800,802,-0.825687286021796
"Dominica",0,0,71,71.7916666666667,4575.2,9782,706,0.236872366258191
"Egypt, Arab Rep.",0,0,53,53.7916666666667,349.2,4696,489553,-0.529104000263695
"Equatorial Guinea",0.4,5765,104,104.791666666667,1347.16666666667,3458,5013,-0.595243183794942
"Ethiopia",0.36,430000,127,127.791666666667,170.5,4360,513926,-1.07009495466349
"Gabon",0,0,110,110.791666666667,378,2227,5074,-1.02203087955033
"Gambia, The",0,0,97,97.7916666666667,487.333333333333,1454,3615,-0.884277728655286
"Georgia",0,0,102,102.791666666667,1968.5,6086,24220,-0.604348564336249
"Ghana",0,0,89,89.7916666666667,73,2663,84487,-0.904767351976363
"Grenada",0,0,71,71.7916666666667,1933.5,4203,475,-0.340491742160622
"Guatemala",0,0,85,85.7916666666667,915.666666666667,4499,82099,-0.685562912590851
"Guinea",0.19,25263,107,107.791666666667,673,5450,73554,-0.854132424583117
"Haiti",0,38,226,226.791666666667,76.5,147,1701,-2.10388527814646
"Hungary",1.35,129689,47,47.7916666666667,6029.57142857143,13069,125911,1.31309968664817
"Iraq",0,0,89,89.7916666666667,253,7755,319337,-0.865426950145956
"Jamaica",0,0,97,97.7916666666667,1149.6,3076,9145,-0.739534190957781
"Jordan",0,0,41,41.7916666666667,2769.83333333333,7474,76754,0.105043496726962
"Kenya",0,0,92,92.7916666666667,258.333333333333,2145,117923,-0.890536116167056
"Kyrgyzstan",0,0,116,116.791666666667,1029.16666666667,2013,13340,-0.932262948412661
"Lebanon",1.11,75341,98,98.7916666666667,2026.28571428571,3450,23352,-0.105972806744679
"Lesotho",0,0,97,97.7916666666667,293.75,2856,6167,-0.926586873771969
"Liberia",0.7,36404,161,161.791666666667,541.333333333333,1417,7340,-1.14877130979394
"Libya",0.01,750,136,136.791666666667,1541.5,3397,23638,-0.991393413154485
"Madagascar",0,609,161,161.791666666667,216,285,8090,-1.50410896966356
"Malawi",0.03,5417,105,105.791666666667,360.833333333333,1071,21043,-0.969810005478631
"Mali",0,0,118,118.791666666667,83,689,14378,-1.15657158047945
"Mauritania",0,0,114,114.791666666667,437.833333333333,14372,68628,-1.04398691531394
"Moldova",0.1,3849,93,93.7916666666667,1783,3150,12676,-0.525461821874066
"Montserrat",0,0,68,68.7916666666667,2074.5,3814,19,-0.283400286503321
"Mozambique",0,0,95,95.7916666666667,119.25,9781,314592,-0.947208669397459
"Myanmar",0,0,55,55.7916666666667,623.8,5553,304316,-0.48660457006474
"Namibia",0,0,106,106.791666666667,724.666666666667,2397,6202,-0.911231102986381
"Niger",0,0,116,116.791666666667,72.2,3320,83433,-1.14141546621806
"Nigeria",0,0,92,92.7916666666667,147.4,980,207083,-0.914781460109944
"Pakistan",0,0,62,62.7916666666667,1141.66666666667,5559,1251867,-0.434728661245975
"Papua New Guinea",0,0,118,118.791666666667,123.333333333333,570,5196,-1.1477564163656
"Philippines",0,0,88,88.7916666666667,1343.33333333333,14671,1629125,-0.618367839502459
"Romania",0.01,965,25,25.7916666666667,2271.66666666667,4073,77910,0.140358077946782
"Saint Lucia",0,0,76,76.7916666666667,1912,5960,1099,-0.388982080529503
"Senegal",0,0,82,82.7916666666667,655.666666666667,2164,37211,-0.716113129900179
"Sierra Leone",0,0,102,102.791666666667,118,1602,13039,-1.00878975093163
"Solomon Islands",0,0,111,111.791666666667,836.4,2855,2010,-0.930602258741162
"Somalia",0.72,117567,136,136.791666666667,152.333333333333,1788,29248,-1.00671260177391
"South Africa",0,0,76,76.7916666666667,807.5,3527,211782,-0.630379157316639
"South Sudan",0,0,124,124.791666666667,34,457,5197,-1.21983052720247
"Sudan",0,0,98,98.7916666666667,119.333333333333,3543,159116,-0.973465263805279
"Suriname",0,0,82,82.7916666666667,1867.66666666667,6049,3580,-0.45122109090877
"Syria",0,0,89,89.7916666666667,91.2,1056,19301,-0.900789600235733
"Tanzania",0.17,105745,249,249.791666666667,337.666666666667,600,36892,-2.17921731838836
"Togo",0,0,97,97.7916666666667,361.666666666667,4479,37978,-0.911743157340589
"Uganda",0,0,97,97.7916666666667,164,6250,294514,-0.954944746758054
"Ukraine",0,159,84,84.7916666666667,924,5780,251231,-0.67498332850569
"Vanuatu",0,0,181,181.791666666667,2365.8,3851,1211,-1.20941882084784
"Yemen",0.06,18555,158,158.791666666667,136.4,336,10240,-1.47086848835379
"Zambia",0,0,133,133.791666666667,228.6,1301,24623,-1.25612360433849
"Zimbabwe",0,39,78,78.7916666666667,1192.83333333333,2791,42129,-0.563678094732387
