"country","days.to.1d_rel","days.to.1d_abs","days.to.1d_fromstart","days.to.2d_rel","days.to.2d_abs","days.to.2d_fromstart","people_vaccinated_per_hundred","people_vaccinated","days.to.start_rel","days.to.start_abs","days.to.50pct_rel","days.to.50pct_abs","days.to.50pct_fromstart","daily.vac.per.mil_6moavg","daily.vac.per.mil_max","daily.vac.raw_max","daily.vac_max"
"Serbia",245,334.791666666667,297,NA,NA,NA,0.1,7000,37,37.7916666666667,NA,NA,NA,4273.66666666667,5671,44236,38969
"Seychelles",351,440.791666666667,402,208,454.791666666667,416,0,0,38,38.7916666666667,0,89.7916666666667,51,9404.16666666667,21939,NA,2170
"Singapore",122,211.791666666667,183,180,426.791666666667,398,0,124,28,28.7916666666667,122,211.791666666667,183,4698.33333333333,11725,80666,63943
"Slovakia",342,431.791666666667,399,NA,NA,NA,0.55,30161,32,32.7916666666667,307,396.791666666667,364,4015.8,6367,NA,34694
"Slovenia",214,303.791666666667,278,NA,NA,NA,0.3,6199,25,25.7916666666667,214,303.791666666667,278,3259.5,7144,19880,14850
"Korea, Rep.",275,364.791666666667,278,149,395.791666666667,309,0.07,37837,86,86.7916666666667,184,273.791666666667,187,3624.33333333333,15009,1097355,770061
"Spain",184,273.791666666667,240,NA,NA,NA,0.18,82834,33,33.7916666666667,122,211.791666666667,178,5807.33333333333,12177,765399,569213
"Sri Lanka",365,454.791666666667,397,NA,NA,NA,0,0,57,57.7916666666667,184,273.791666666667,216,1322.83333333333,21207,511191,455904
"Sweden",153,242.791666666667,210,213,459.791666666667,427,0.02,1887,32,32.7916666666667,125,214.791666666667,182,4342.8,10326,NA,104917
"Switzerland",153,242.791666666667,223,NA,NA,NA,0,1,19,19.7916666666667,122,211.791666666667,192,4003,9916,109157,86423
"Taiwan",275,364.791666666667,255,NA,NA,NA,0,0,109,109.791666666667,214,303.791666666667,194,2564.33333333333,14362,396309,342617
"Tajikistan",370,459.791666666667,303,NA,NA,NA,0.71,69229,156,156.791666666667,370,459.791666666667,303,2674.33333333333,6169,NA,60143
"Thailand",337,426.791666666667,339,NA,NA,NA,0,0,87,87.7916666666667,245,334.791666666667,247,1543,10885,320719,761417
"Tonga",357,446.791666666667,307,NA,NA,NA,2.14,2287,139,139.791666666667,245,334.791666666667,195,4130.8,11503,NA,1228
"Tunisia",366,455.791666666667,355,NA,NA,NA,0,0,100,100.791666666667,275,364.791666666667,264,2676.33333333333,8826,36414,105341
"Turkey",184,273.791666666667,201,NA,NA,NA,3.61,3067822,72,72.7916666666667,184,273.791666666667,201,4698.42857142857,11232,706330,955219
"United Arab Emirates",126,215.791666666667,176,57,303.791666666667,264,8.37,836568,39,39.7916666666667,50,139.791666666667,100,6892.75,9021,130177,90125
"Uruguay",122,211.791666666667,124,149,395.791666666667,308,0.01,383,87,87.7916666666667,92,181.791666666667,94,8131.16666666667,11047,53603,38499
"United States",245,334.791666666667,323,NA,NA,NA,0.01,25125,11,11.7916666666667,92,181.791666666667,170,5391.66666666667,9758,4555627,3239655
"Uzbekistan",276,365.791666666667,246,NA,NA,NA,0,0,119,119.791666666667,276,365.791666666667,246,2396.66666666667,7207,NA,244582
"Venezuela, RB",291,380.791666666667,303,NA,NA,NA,0,0,77,77.7916666666667,291,380.791666666667,303,958,16251,NA,466473
"Afghanistan",NA,NA,NA,NA,NA,NA,0,0,82,82.7916666666667,NA,NA,NA,146.5,920,NA,36635
"Albania",NA,NA,NA,NA,NA,NA,0,0,39,39.7916666666667,NA,NA,NA,2983.66666666667,5792,12934,16639
"Algeria",NA,NA,NA,NA,NA,NA,0,0,58,58.7916666666667,NA,NA,NA,84,5759,NA,256927
"Angola",NA,NA,NA,NA,NA,NA,0,0,89,89.7916666666667,NA,NA,NA,420,2983,NA,101233
"Armenia",NA,NA,NA,NA,NA,NA,0.02,565,119,119.791666666667,NA,NA,NA,761,4908,NA,14568
"Bahamas",NA,NA,NA,NA,NA,NA,0,0,101,101.791666666667,NA,NA,NA,2448.83333333333,8395,NA,3332
"Benin",NA,NA,NA,NA,NA,NA,0.09,10683,161,161.791666666667,NA,NA,NA,186,2830,NA,35237
"Botswana",NA,NA,NA,NA,NA,NA,0,0,113,113.791666666667,345,434.791666666667,321,1474.33333333333,5563,NA,13337
"Bulgaria",NA,NA,NA,NA,NA,NA,0.02,1719,27,27.7916666666667,NA,NA,NA,1336.16666666667,2287,18048,15773
"Burkina Faso",NA,NA,NA,NA,NA,NA,0,200,182,182.791666666667,NA,NA,NA,152,1286,NA,27639
"Burundi",NA,NA,NA,NA,NA,NA,0,81,321,321.791666666667,NA,NA,NA,4.2,5,NA,62
"Cameroon",NA,NA,NA,NA,NA,NA,0,0,130,130.791666666667,NA,NA,NA,69.6666666666667,229,NA,6236
"Central African Republic",NA,NA,NA,NA,NA,NA,0.01,667,161,161.791666666667,NA,NA,NA,471.75,1497,NA,7365
"Chad",NA,NA,NA,NA,NA,NA,0.03,5324,190,190.791666666667,NA,NA,NA,79,162,NA,2735
"Comoros",NA,NA,NA,NA,NA,NA,1.51,13440,140,140.791666666667,NA,NA,NA,2284.66666666667,5622,NA,4995
"Congo",NA,NA,NA,NA,NA,NA,0.25,14297,133,133.791666666667,NA,NA,NA,388.166666666667,1253,NA,7088
"Djibouti",NA,NA,NA,NA,NA,NA,1.02,10246,136,136.791666666667,NA,NA,NA,423.25,800,NA,802
"Dominica",NA,NA,NA,NA,NA,NA,0,0,71,71.7916666666667,NA,NA,NA,4575.2,9782,438,706
"Egypt, Arab Rep.",NA,NA,NA,NA,NA,NA,0,0,53,53.7916666666667,NA,NA,NA,349.2,4696,NA,489553
"Equatorial Guinea",NA,NA,NA,NA,NA,NA,0.4,5765,104,104.791666666667,NA,NA,NA,1347.16666666667,3458,NA,5013
"Ethiopia",NA,NA,NA,NA,NA,NA,0.36,430000,127,127.791666666667,NA,NA,NA,170.5,4360,245612,513926
"Gabon",NA,NA,NA,NA,NA,NA,0,0,110,110.791666666667,NA,NA,NA,378,2227,NA,5074
"Gambia, The",NA,NA,NA,NA,NA,NA,0,0,97,97.7916666666667,NA,NA,NA,487.333333333333,1454,NA,3615
"Georgia",NA,NA,NA,NA,NA,NA,0,0,102,102.791666666667,NA,NA,NA,1968.5,6086,25189,24220
"Ghana",NA,NA,NA,NA,NA,NA,0,0,89,89.7916666666667,NA,NA,NA,73,2663,NA,84487
"Grenada",NA,NA,NA,NA,NA,NA,0,0,71,71.7916666666667,NA,NA,NA,1933.5,4203,NA,475
"Guatemala",NA,NA,NA,NA,NA,NA,0,0,85,85.7916666666667,NA,NA,NA,915.666666666667,4499,92358,82099
"Guinea",NA,NA,NA,NA,NA,NA,0.19,25263,107,107.791666666667,NA,NA,NA,673,5450,298940,73554
"Haiti",NA,NA,NA,NA,NA,NA,0,38,226,226.791666666667,NA,NA,NA,76.5,147,NA,1701
"Hungary",NA,NA,NA,NA,NA,NA,1.35,129689,47,47.7916666666667,92,181.791666666667,134,6029.57142857143,13069,166720,125911
"Iraq",NA,NA,NA,NA,NA,NA,0,0,89,89.7916666666667,NA,NA,NA,253,7755,NA,319337
"Jamaica",NA,NA,NA,NA,NA,NA,0,0,97,97.7916666666667,NA,NA,NA,1149.6,3076,7122,9145
"Jordan",NA,NA,NA,NA,NA,NA,0,0,41,41.7916666666667,NA,NA,NA,2769.83333333333,7474,50347,76754
"Kenya",NA,NA,NA,NA,NA,NA,0,0,92,92.7916666666667,NA,NA,NA,258.333333333333,2145,198672,117923
"Kyrgyzstan",NA,NA,NA,NA,NA,NA,0,0,116,116.791666666667,NA,NA,NA,1029.16666666667,2013,12921,13340
"Lebanon",NA,NA,NA,NA,NA,NA,1.11,75341,98,98.7916666666667,NA,NA,NA,2026.28571428571,3450,25705,23352
"Lesotho",NA,NA,NA,NA,NA,NA,0,0,97,97.7916666666667,NA,NA,NA,293.75,2856,NA,6167
"Liberia",NA,NA,NA,NA,NA,NA,0.7,36404,161,161.791666666667,NA,NA,NA,541.333333333333,1417,NA,7340
"Libya",NA,NA,NA,NA,NA,NA,0.01,750,136,136.791666666667,NA,NA,NA,1541.5,3397,NA,23638
"Madagascar",NA,NA,NA,NA,NA,NA,0,609,161,161.791666666667,NA,NA,NA,216,285,NA,8090
"Malawi",NA,NA,NA,NA,NA,NA,0.03,5417,105,105.791666666667,NA,NA,NA,360.833333333333,1071,17389,21043
"Mali",NA,NA,NA,NA,NA,NA,0,0,118,118.791666666667,NA,NA,NA,83,689,NA,14378
"Mauritania",NA,NA,NA,NA,NA,NA,0,0,114,114.791666666667,NA,NA,NA,437.833333333333,14372,NA,68628
"Moldova",NA,NA,NA,NA,NA,NA,0.1,3849,93,93.7916666666667,NA,NA,NA,1783,3150,9272,12676
"Montserrat",NA,NA,NA,NA,NA,NA,0,0,68,68.7916666666667,NA,NA,NA,2074.5,3814,NA,19
"Mozambique",NA,NA,NA,NA,NA,NA,0,0,95,95.7916666666667,NA,NA,NA,119.25,9781,NA,314592
"Myanmar",NA,NA,NA,NA,NA,NA,0,0,55,55.7916666666667,NA,NA,NA,623.8,5553,NA,304316
"Namibia",NA,NA,NA,NA,NA,NA,0,0,106,106.791666666667,NA,NA,NA,724.666666666667,2397,3341,6202
"Niger",NA,NA,NA,NA,NA,NA,0,0,116,116.791666666667,NA,NA,NA,72.2,3320,NA,83433
"Nigeria",NA,NA,NA,NA,NA,NA,0,0,92,92.7916666666667,NA,NA,NA,147.4,980,100453,207083
"Pakistan",NA,NA,NA,NA,NA,NA,0,0,62,62.7916666666667,365,454.791666666667,392,1141.66666666667,5559,1388268,1251867
"Papua New Guinea",NA,NA,NA,NA,NA,NA,0,0,118,118.791666666667,NA,NA,NA,123.333333333333,570,NA,5196
"Philippines",NA,NA,NA,NA,NA,NA,0,0,88,88.7916666666667,276,365.791666666667,277,1343.33333333333,14671,1189329,1629125
"Romania",NA,NA,NA,NA,NA,NA,0.01,965,25,25.7916666666667,NA,NA,NA,2271.66666666667,4073,60017,77910
"Saint Lucia",NA,NA,NA,NA,NA,NA,0,0,76,76.7916666666667,NA,NA,NA,1912,5960,278,1099
"Senegal",NA,NA,NA,NA,NA,NA,0,0,82,82.7916666666667,NA,NA,NA,655.666666666667,2164,14188,37211
"Sierra Leone",NA,NA,NA,NA,NA,NA,0,0,102,102.791666666667,NA,NA,NA,118,1602,NA,13039
"Solomon Islands",NA,NA,NA,NA,NA,NA,0,0,111,111.791666666667,NA,NA,NA,836.4,2855,NA,2010
"Somalia",NA,NA,NA,NA,NA,NA,0.72,117567,136,136.791666666667,NA,NA,NA,152.333333333333,1788,NA,29248
"South Africa",NA,NA,NA,NA,NA,NA,0,0,76,76.7916666666667,NA,NA,NA,807.5,3527,273012,211782
"South Sudan",NA,NA,NA,NA,NA,NA,0,0,124,124.791666666667,NA,NA,NA,34,457,NA,5197
"Sudan",NA,NA,NA,NA,NA,NA,0,0,98,98.7916666666667,NA,NA,NA,119.333333333333,3543,NA,159116
"Suriname",NA,NA,NA,NA,NA,NA,0,0,82,82.7916666666667,NA,NA,NA,1867.66666666667,6049,2899,3580
"Syria",NA,NA,NA,NA,NA,NA,0,0,89,89.7916666666667,NA,NA,NA,91.2,1056,NA,19301
"Tanzania",NA,NA,NA,NA,NA,NA,0.17,105745,249,249.791666666667,NA,NA,NA,337.666666666667,600,NA,36892
"Togo",NA,NA,NA,NA,NA,NA,0,0,97,97.7916666666667,NA,NA,NA,361.666666666667,4479,NA,37978
"Uganda",NA,NA,NA,NA,NA,NA,0,0,97,97.7916666666667,NA,NA,NA,164,6250,NA,294514
"Ukraine",NA,NA,NA,NA,NA,NA,0,159,84,84.7916666666667,NA,NA,NA,924,5780,273307,251231
"Vanuatu",NA,NA,NA,NA,NA,NA,0,0,181,181.791666666667,NA,NA,NA,2365.8,3851,NA,1211
"Yemen",NA,NA,NA,NA,NA,NA,0.06,18555,158,158.791666666667,NA,NA,NA,136.4,336,NA,10240
"Zambia",NA,NA,NA,NA,NA,NA,0,0,133,133.791666666667,NA,NA,NA,228.6,1301,5169,24623
"Zimbabwe",NA,NA,NA,NA,NA,NA,0,39,78,78.7916666666667,NA,NA,NA,1192.83333333333,2791,50606,42129
"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua And Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia And Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caribbean Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China Hong Kong Sar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China Macao Sar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote D Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Falkland Islands Malvinas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Guiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guadeloupe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isle Of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martinique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mayotte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reunion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Kitts And Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Martin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Pierre And Miquelon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Vincent And The Grenadines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Tome And Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sint Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"State Of Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swaziland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Timor Leste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trinidad And Tobago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turks And Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wallis And Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
